"spce_id","examin_realm_se_code_nm","spcs_lcnm","spcs_scncenm","examin_year","examin_begin_de","examin_end_de","geom"
"007000000000624276",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (296119.1205000002 358751.74730000086)
"007000000000624287",양서파충류,이끼도롱뇽,"Karsenia koreana Min,Yang,Bonett,Vieites,Brandon,and Wake, 2005","2014",,,POINT (291463.81039999984 363427.97059999965)
"007000000000624294",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (287311.5246000001 367938.93469999917)
"007000000000624311",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (288946.19269999955 353519.5278999992)
"007000000000624323",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (284898.67140000034 359879.1495999992)
"007000000000624329",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (285481.0758999996 353898.56460000016)
"007000000000624341",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (162133.92200000025 201707.71969999932)
"007000000000624354",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (265062.58160000015 528593.2740000002)
"007000000000624395",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (238620.90620000008 579041.6989999991)
"007000000000624400",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (238749.0307 579883.9857999999)
"007000000000624420",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (333629.1227000002 330542.35349999927)
"007000000000624476",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (324083.60639999993 343718.8961999994)
"007000000000624487",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (326857.4188000001 344201.7670000009)
"007000000000624502",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (280439.0310000004 372719.2360999994)
"007000000000624513",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (281361.9285000004 353045.93700000085)
"007000000000624514",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (224730.9879999999 399555.3792000003)
"007000000000624518",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (225328.86050000042 392193.67909999937)
"007000000000624523",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (221862.40359999985 395749.8923000004)
"007000000000624525",양서파충류,실뱀,"Hierophis spinalis (Peters, 1866)","2015",,,POINT (122404.7706000004 290041.26300000027)
"007000000000624529",양서파충류,실뱀,"Hierophis spinalis (Peters, 1866)","2015",,,POINT (122535.45459999982 290530.23890000023)
"007000000000624532",양서파충류,실뱀,"Hierophis spinalis (Peters, 1866)","2016",,,POINT (122324.75519999955 289928.7737000007)
"007000000000624545",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (403074.7348999996 478427.4770999998)
"007000000000624551",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (403074.7348999996 478427.4770999998)
"007000000000624554",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (410580.0683000004 479597.2662000004)
"007000000000624559",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (410580.0683000004 479597.2662000004)
"007000000000624582",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (412945.4371999996 484099.08400000073)
"007000000000624588",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (412945.4371999996 484099.08400000073)
"007000000000624593",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (412918.34509999957 484190.9286000002)
"007000000000624598",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (412918.34509999957 484190.9286000002)
"007000000000624603",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (410515.78729999997 484192.7773000002)
"007000000000624613",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (410515.78729999997 484192.7773000002)
"007000000000624685",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (274206.97979999986 580617.7020999994)
"007000000000624695",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (270017.9232999999 584549.3781000003)
"007000000000624707",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (339131.03560000006 478313.2407000009)
"007000000000624722",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (341334.55759999994 479860.6428999994)
"007000000000624726",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (341334.55759999994 479860.6428999994)
"007000000000624738",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (292601.2483999999 255760.47000000067)
"007000000000624750",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (294765.7714999998 250265.64829999954)
"007000000000624766",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (290127.8284 334102.8365000002)
"007000000000624775",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (149949.35199999996 475531.5245999992)
"007000000000624812",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (272600.7533 459934.08970000036)
"007000000000624842",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (402034.56290000025 321548.5402000006)
"007000000000624862",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (404132.2264999999 308982.32129999995)
"007000000000624869",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (404132.2264999999 308982.32129999995)
"007000000000624874",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (404132.2264999999 308982.32129999995)
"007000000000624902",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (254991.10699999984 376869.6835999992)
"007000000000624907",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (250460.3389999997 376716.12629999965)
"007000000000624919",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (293592.1849999996 382582.25269999914)
"007000000000624930",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (299118.8772999998 387728.5061000008)
"007000000000624937",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (294831.4079999998 393391.1844999995)
"007000000000624942",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (293953.4517000001 391422.9149999991)
